Agrupación Política,Lista,Cargo,Género
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,Femenino
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,DIPUTADOS NACIONALES,Femenino
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,UNIDAD RENOVADORA,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,UNION POR JUJUY,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,JUNTOS POR LA PAMPA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Femenino
UNION POR LA PATRIA,CONSENSO PERONISTA,DIPUTADOS NACIONALES,Masculino
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,DIPUTADOS NACIONALES,Femenino
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,DEMOS LIBERTAD,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,Masculino
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BANCA,DIPUTADOS NACIONALES,Masculino
CAMBIA MENDOZA,A MENDOZA HACE,DIPUTADOS NACIONALES,Masculino
