,code,nombre,candidatos,votos,perc,percAbs,mapa_scopes_scopeId,mapa_scopes_name,mapa_scopes_partidos_name,mapa_scopes_partidos_code
109,3010,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,"['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']",15760.0,20.2,0.93,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
110,3011,"1A- TIERRA, TECHO  Y TRABAJO","['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']",22233.0,100.0,1.32,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,PRINCIPIOS Y VALORES,137
111,3001,A- HACEMOS,"['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']",15886.0,100.0,0.94,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,133
112,3017,A- IZQUIERDA ANTICAPITALISTA,"['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']",7198.0,100.0,0.42,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,MOVIMIENTO AL SOCIALISMO,13
113,3027,B- CONFEDERAL,"['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']",4937.0,79.8,0.29,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
114,3026,A- DIGNIDAD,"['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']",1249.0,20.19,0.07,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
115,3020,A- UNIDAD OBRERA,"['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']",4454.0,100.0,0.26,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,POLITICA OBRERA,92
116,3019,A- AZUL Y ROJO,"['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']",3754.0,100.0,0.22,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,MOVIMIENTO LIBRES DEL SUR,40
117,3021,A- PRIMERO LA PATRIA,"['ALEJANDRO CESAR BIONDINI', 'MARIEL AVENDAÑO']",2715.0,100.0,0.16,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,FRENTE PATRIOTA FEDERAL,95
118,3025,A- COMPROMISO VECINAL,"['RAUL HUMBERTO ALBARRACIN', 'SERGIO PASTORE']",2691.0,100.0,0.15,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,MOVIMIENTO DE ACCION VECINAL,57
119,3018,A- APERTURA LIBERAL ARGENTINA,"['ANDRES GABRIEL PASSAMONTI', 'PAMELA FERNANDEZ']",2230.0,100.0,0.13,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,UNION DEL CENTRO DEMOCRATICO,20
120,3004,C- ANTICORRUPCIÓN,"['JULIO DONATO BARBARO', 'RAMONA PUCHETA']",105.0,62.87,0.01,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,131
