Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,8,SEBASTIAN CRUZ FUNES,M,36
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,9,MARIA DEL CARMEN PALACIOS,F,51
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,10,FABIAN MATIAS MORAN,M,35
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,EDUARDO RAUL LUDUEÑA,M,57
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,ROXANA MARIEL ACOSTA CORDOBA,F,32
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,GUSTAVO CARLOS GONZALEZ,M,56
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,FERNANDA MERCEDES AVALOS,F,41
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,JOSE VICENTE MERCADO,M,66
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,MIRTA GABRIELA VERA,F,49
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,JUAN ANDRES SOTELO,M,69
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,MONICA BEATRIZ VARGAS,F,48
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,WALTER ALBERTO RODRIGUEZ,M,49
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,JESICA NATALIA MAZA,F,41
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,OSCAR MAURO DEL ROSARIO PEREZ,M,46
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,LORENA GUADALUPE LEZCANO,F,46
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,OSCAR GABRIEL CORRADI,M,59
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,MARIA DOMINGA PEREZ,F,66
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,LEONARDO ANGEL COLPACHY,M,35
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,NADIA ELIANA HERRERA,F,39
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,LUIS ALEJANDRO MEDINA,M,54
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,REBECA IVONE JIMENEZ,F,39
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,PABLO DAMIAN RODRIGUEZ,M,41
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,ANGELICA SUSANA CHAUMONT,F,43
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,ALFREDO GUILLERMO PALACIOS,M,53
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,MIRIAM ESTHER BRUNO,F,60
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,VICTOR AGUSTIN TOLOZA,M,63
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,SOL MACARENA MENDEZ,F,26
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,LEONARDO FABIAN CID,M,44
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,JAQUELINE TAMARA SAAVEDRA,F,39
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,FERNANDO DARIO AGRA,M,47
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,ANDREA FABIANA GONZALEZ,F,53
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,MIGUEL ANGEL BLASCO,M,69
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,ANA LAURA IZAGUIRRE,F,47
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,NESTOR CORREA,M,47
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,MARGARITA SUSANA BARRIOS,F,67
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,MATEO GABRIEL ARES,M,37
