Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,TITULARES,2,MARÍA EUGENIA CORONEL DIAZ,F,44,2,40-46
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SUPLENTES,1,MARCELO LUIS ADORNO,M,57,5,56-61
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SUPLENTES,2,ANALIA CLAUDIA COLOMBO,F,54,4,51-56
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,TITULARES,1,LUIS PABLO NARVAJA,M,68,7,66-72
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,TITULARES,2,MARÍA BELÉN DI PASQUALE,F,37,1,35-40
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SUPLENTES,1,NESTOR ANDRES DI PASQUALE,M,33,0,30-35
POLITICA OBRERA,UNIDAD OBRERA,BUENOS AIRES,TITULARES,1,MANUEL IGNACIO QUIROGA,M,45,2,40-46
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,TITULARES,1,RODOLFO PABLO TREBER,M,35,0,30-35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,TITULARES,2,JACQUELINE CORDO,F,35,0,30-35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SUPLENTES,1,ROBERTO CARLOS SINGH,M,50,3,46-51
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SUPLENTES,2,LORENA INES BARRERA,F,46,3,46-51
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,TITULARES,1,CARLOS ALBERTO TOBAR,M,49,3,46-51
